eff_category,business_segment,to_norm,labels,Résultat 1,Siren
0.0,24,0.1382409755802176,1,-87320.0,306369679
7.5,27,0.1382409755802176,3,-87320.0,306369679
4.0,30,0.1401000220252704,3,46842.0,306369893
7.5,15,0.14679861413312895,2,530260.0,306552910
0.0,12,0.14679861413312895,0,530260.0,306552910
4.0,18,0.1388842880700286,2,-40894.0,306618349
1.5,17,0.14022068641938734,4,55550.0,306642950
1.5,17,0.14022068641938734,4,55550.0,306642950
4.0,18,0.14022068641938734,2,55550.0,306642950
0.0,16,0.14022068641938734,4,55550.0,306642950
0.0,16,0.14022068641938734,4,55550.0,306642950
0.0,12,0.14248446019831335,0,218920.0,306906355
0.0,28,0.13841209232378104,1,-74971.0,307048678
0.0,28,0.14313830380198844,1,266106.0,307146019
7.5,27,0.13988050372811822,3,31000.0,307207399
4.0,14,0.14007836395820505,0,45279.0,307300640
0.0,24,0.13955033945174883,1,7173.0,307360289
0.0,12,0.16366211447722614,0,1747250.0,308250570
0.0,12,0.16366211447722614,0,1747250.0,308250570
7.5,15,0.16366211447722614,2,1747250.0,308250570
1.5,13,0.16366211447722614,0,1747250.0,308250570
1.5,13,0.16366211447722614,0,1747250.0,308250570
1.5,13,0.16366211447722614,0,1747250.0,308250570
4.0,14,0.16366211447722614,0,1747250.0,308250570
4.0,22,0.139296789028741,2,-11125.0,308277581
7.5,31,0.13995508064235082,3,36382.0,308656644
4.0,18,0.1393084009674491,2,-10287.0,309053676
7.5,19,0.1388068843831272,2,-46480.0,309073658
4.0,26,0.13946909745097852,1,1310.0,309084366
7.5,31,0.13947252006298438,3,1557.0,309105914
0.0,12,0.14051091560344564,0,76495.0,309113504
4.0,14,0.2265037651156992,0,6282350.0,309122810
0.0,12,0.2265037651156992,0,6282350.0,309122810
4.0,14,0.14024507426202007,0,57310.0,309245231
7.5,15,0.14024507426202007,2,57310.0,309245231
4.0,30,0.13752382058279877,3,-139075.0,309246809
7.5,15,0.14015445125587345,2,50770.0,309285617
0.0,24,0.14293537200917233,1,251461.0,309384071
0.0,24,0.14293537200917233,1,251461.0,309384071
4.0,18,0.1394680166261346,2,1232.0,309421840
4.0,14,0.13942156887130225,0,-2120.0,309552925
0.0,12,0.13942156887130225,0,-2120.0,309552925
0.0,12,0.1531551113211483,0,988990.0,309646453
4.0,30,0.13858750465326272,3,-62312.0,309660819
0.0,12,0.16235415013530055,0,1652858.0,309707867
0.0,12,0.16235415013530055,0,1652858.0,309707867
4.0,22,0.13989440202707315,2,32003.0,309801546
7.5,23,0.14410043190730734,2,335540.0,309813681
1.5,29,0.14054627797526312,1,79047.0,309868388
0.0,28,0.14054627797526312,1,79047.0,309868388
0.0,28,0.14054627797526312,1,79047.0,309868388
1.5,13,0.13946373489694508,0,923.0,309904399
0.0,20,0.13805645937993494,4,-100636.0,310017058
4.0,18,0.1400203181213934,2,41090.0,310025192
1.5,17,0.1393817307760925,4,-4995.0,310037312
4.0,14,0.1408601605953294,0,101699.0,310083175
7.5,23,0.14031521702304672,2,62372.0,310130877
7.5,31,0.14001843360628086,3,40954.0,310189469
1.5,29,0.14001843360628086,1,40954.0,310189469
7.5,23,0.14034469028513752,2,64499.0,310393764
4.0,22,0.13994420311026748,2,35597.0,310485339
4.0,22,0.13994420311026748,2,35597.0,310485339
1.5,29,0.13960435298048882,1,11071.0,310654462
0.0,20,0.14155391157785807,4,151765.0,310826698
4.0,14,0.14045985355793336,0,72810.0,310981915
7.5,27,0.13856318609427384,3,-64067.0,311179410
7.5,19,0.13925330661386515,2,-14263.0,311415665
4.0,26,0.13903962199952458,1,-29684.0,311585343
0.0,28,0.13949211347746318,1,2971.0,311641807
0.0,28,0.1445836576096547,1,370413.0,311641849
0.0,28,0.1445836576096547,1,370413.0,311641849
0.0,20,0.13936666851192106,4,-6082.0,311665855
4.0,26,0.13957295363309918,1,8805.0,311676415
4.0,22,0.13828670278515398,2,-84020.0,311769863
7.5,27,0.14014766145877683,3,50280.0,311798011
